2025-06-24T02:42:39.167909 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 4.0s
2025-06-24T02:42:40.182418 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 1 | Idle: 0.1s
2025-06-24T02:42:41.196633 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 1.1s
2025-06-24T02:42:42.211026 | ACTIVE | Category: Web Browsing | App: chrome.exe | Window: Ah, got it — you’re building a | Mouse: 1 | Keys: 0 | Idle: 0.7s
2025-06-24T02:42:43.225201 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 1 | Keys: 0 | Idle: 0.9s
2025-06-24T02:42:44.231866 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 0 | Keys: 0 | Idle: 1.9s
2025-06-24T02:42:45.245180 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 1 | Keys: 0 | Idle: 0.5s
2025-06-24T02:42:46.258921 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 2 | Keys: 0 | Idle: 0.0s
2025-06-24T02:42:47.266245 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 1 | Keys: 0 | Idle: 0.4s
2025-06-24T02:42:48.273494 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 3 | Keys: 0 | Idle: 0.1s
2025-06-24T02:42:49.280215 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 6 | Keys: 0 | Idle: 0.2s
2025-06-24T02:42:50.289758 | ACTIVE | Category: Other | App: ApplicationFrameHost.exe | Window: WhatsApp | Mouse: 3 | Keys: 0 | Idle: 0.4s
2025-06-24T02:42:51.298216 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 1 | Keys: 0 | Idle: 0.3s
2025-06-24T02:42:52.303486 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 1.3s
2025-06-24T02:42:53.318036 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 2 | Keys: 0 | Idle: 0.4s
2025-06-24T02:42:54.329934 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 0 | Keys: 0 | Idle: 1.4s
2025-06-24T02:42:55.337040 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 0 | Keys: 0 | Idle: 2.4s
2025-06-24T02:42:56.345295 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 0 | Keys: 0 | Idle: 3.4s
2025-06-24T02:42:57.353449 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 1 | Keys: 0 | Idle: 0.9s
2025-06-24T02:42:58.381272 | ACTIVE | Category: Other | App: ONENOTE.EXE | Window: OneNote | Mouse: 0 | Keys: 0 | Idle: 1.9s
2025-06-24T02:42:59.389709 | ACTIVE | Category: Other | App: ONENOTE.EXE | Window: ilovepdf_merged - OneNote | Mouse: 0 | Keys: 0 | Idle: 2.9s
2025-06-24T02:43:00.397158 | ACTIVE | Category: Other | App: ONENOTE.EXE | Window: ilovepdf_merged - OneNote | Mouse: 1 | Keys: 0 | Idle: 0.3s
2025-06-24T02:43:01.403795 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 1.3s
2025-06-24T02:43:02.412563 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 2.3s
2025-06-24T02:43:03.422706 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 3.3s
2025-06-24T02:43:04.429941 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 4.3s
2025-06-24T02:43:05.437480 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 5.3s
2025-06-24T02:43:06.451127 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 1 | Keys: 0 | Idle: 0.4s
2025-06-24T02:43:07.458891 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 1 | Keys: 0 | Idle: 0.5s
2025-06-24T02:43:08.465803 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 2 | Keys: 0 | Idle: 0.1s
2025-06-24T02:43:09.475889 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 0 | Keys: 0 | Idle: 1.1s
2025-06-24T02:43:10.482770 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 2 | Keys: 0 | Idle: 0.3s
2025-06-24T02:43:11.492159 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 0 | Keys: 0 | Idle: 1.3s
2025-06-24T02:43:12.498184 | ACTIVE | Category: File Management | App: explorer.exe | Window:  | Mouse: 1 | Keys: 0 | Idle: 0.9s
2025-06-24T02:43:13.505014 | ACTIVE | Category: Other | App: psiphon-185.20250223131130-installer.exe | Window: Psiphon 3 | Mouse: 0 | Keys: 0 | Idle: 1.9s
2025-06-24T02:43:14.512159 | ACTIVE | Category: Other | App: Discord.exe | Window: Friends - Discord | Mouse: 0 | Keys: 0 | Idle: 2.9s
2025-06-24T02:43:15.518359 | ACTIVE | Category: Other | App: Discord.exe | Window: Friends - Discord | Mouse: 1 | Keys: 0 | Idle: 0.2s
2025-06-24T02:43:16.525572 | ACTIVE | Category: Other | App: psiphon-185.20250223131130-installer.exe | Window: Psiphon 3 | Mouse: 0 | Keys: 0 | Idle: 1.2s
2025-06-24T02:43:17.535753 | ACTIVE | Category: Other | App: psiphon-185.20250223131130-installer.exe | Window: Psiphon 3 | Mouse: 0 | Keys: 0 | Idle: 2.2s
2025-06-24T02:43:18.543822 | ACTIVE | Category: Other | App: psiphon-185.20250223131130-installer.exe | Window: Psiphon 3 | Mouse: 0 | Keys: 0 | Idle: 3.2s
2025-06-24T02:43:19.553187 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 0 | Keys: 0 | Idle: 4.3s
2025-06-24T02:43:20.562783 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 0 | Keys: 0 | Idle: 5.3s
2025-06-24T02:43:21.569231 | ACTIVE | Category: Development | App: Code.exe | Window: enhanced_tracker.py - activity | Mouse: 0 | Keys: 0 | Idle: 6.3s
