2025-06-24T02:29:55.015094 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.8s
2025-06-24T02:29:56.025666 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.8s
2025-06-24T02:29:57.030848 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.8s
2025-06-24T02:29:58.041608 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.1s
2025-06-24T02:29:59.052474 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.1s
2025-06-24T02:30:00.057269 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.9s
2025-06-24T02:30:01.062193 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.9s
2025-06-24T02:30:02.066375 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.9s
2025-06-24T02:30:03.077209 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.3s
2025-06-24T02:30:04.089362 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.2s
2025-06-24T02:30:05.100170 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.2s
2025-06-24T02:30:06.104836 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.2s
2025-06-24T02:30:07.110531 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.2s
2025-06-24T02:30:08.116034 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 4.2s
2025-06-24T02:30:09.121376 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 5.2s
2025-06-24T02:30:10.126215 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 6.2s
2025-06-24T02:30:11.137017 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 7.3s
2025-06-24T02:30:12.142216 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.8s
2025-06-24T02:30:13.145821 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.8s
2025-06-24T02:30:14.149715 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.8s
2025-06-24T02:30:15.155684 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.0s
2025-06-24T02:30:16.160634 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.4s
2025-06-24T02:30:17.166578 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 3 | Idle: 0.0s
2025-06-24T02:30:18.172801 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 8 | Idle: 0.2s
2025-06-24T02:30:19.178444 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 9 | Idle: 0.1s
2025-06-24T02:30:20.184914 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 5 | Idle: 0.0s
2025-06-24T02:30:21.196680 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 7 | Idle: 0.0s
2025-06-24T02:30:22.202357 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 6 | Idle: 0.2s
2025-06-24T02:30:23.208607 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 6 | Idle: 0.2s
2025-06-24T02:30:24.213878 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 4 | Idle: 0.1s
2025-06-24T02:30:25.219428 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 7 | Idle: 0.3s
2025-06-24T02:30:26.225324 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 4 | Idle: 0.6s
2025-06-24T02:30:27.231164 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 9 | Idle: 0.0s
2025-06-24T02:30:28.236809 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 6 | Idle: 0.1s
2025-06-24T02:30:29.241974 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 6 | Idle: 0.2s
2025-06-24T02:30:30.249755 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 5 | Idle: 0.5s
2025-06-24T02:30:31.257024 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.5s
2025-06-24T02:30:32.262670 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.5s
2025-06-24T02:30:33.268698 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.2s
2025-06-24T02:30:34.274080 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.2s
2025-06-24T02:30:35.281894 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.2s
2025-06-24T02:30:36.293623 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.2s
2025-06-24T02:30:37.299571 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.4s
2025-06-24T02:30:38.305889 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.4s
2025-06-24T02:30:39.310726 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 1 | Idle: 0.2s
2025-06-24T02:30:40.315538 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.2s
2025-06-24T02:30:41.321825 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.1s
2025-06-24T02:30:42.326492 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.1s
2025-06-24T02:30:43.331662 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.1s
2025-06-24T02:30:44.337138 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.1s
2025-06-24T02:30:45.342052 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 4.1s
2025-06-24T02:30:46.345697 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 2 | Idle: 0.2s
2025-06-24T02:30:47.351300 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 1 | Idle: 0.0s
2025-06-24T02:30:48.356284 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.0s
2025-06-24T02:30:49.360697 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 5 | Idle: 0.3s
2025-06-24T02:30:50.365222 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 8 | Idle: 0.0s
2025-06-24T02:30:51.370106 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 8 | Idle: 0.1s
2025-06-24T02:30:52.374819 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 8 | Idle: 0.1s
2025-06-24T02:30:53.380952 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 8 | Idle: 0.1s
2025-06-24T02:30:54.386128 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 7 | Idle: 0.2s
2025-06-24T02:30:55.391368 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 8 | Idle: 0.1s
2025-06-24T02:30:56.397910 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 6 | Idle: 0.2s
2025-06-24T02:30:57.402948 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 1 | Idle: 1.0s
2025-06-24T02:30:58.408229 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.0s
2025-06-24T02:30:59.413564 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 1 | Idle: 0.1s
2025-06-24T02:31:00.418662 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 5 | Idle: 0.1s
2025-06-24T02:31:01.422846 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 5 | Idle: 0.1s
2025-06-24T02:31:02.427403 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 5 | Idle: 0.1s
2025-06-24T02:31:03.433734 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 4 | Idle: 0.1s
2025-06-24T02:31:04.438287 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 9 | Idle: 0.2s
2025-06-24T02:31:05.442937 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 4 | Idle: 0.5s
2025-06-24T02:31:06.450314 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.5s
2025-06-24T02:31:07.462900 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.2s
2025-06-24T02:31:08.468153 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 1.2s
2025-06-24T02:31:09.474079 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 2.2s
2025-06-24T02:31:10.478550 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 3.2s
2025-06-24T02:31:11.483973 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 4.2s
2025-06-24T02:31:12.489627 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 5.2s
2025-06-24T02:31:13.496764 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 6.2s
2025-06-24T02:31:14.501816 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 7.2s
2025-06-24T02:31:15.506339 | Window: Unknown | Process: Unknown | Mouse: 0 | Keys: 0 | Idle: 8.3s
2025-06-24T02:31:16.513495 | Window: Unknown | Process: Unknown | Mouse: 1 | Keys: 0 | Idle: 0.5s
